               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11212,            0.020078,            0.020551,           0.0016453,             0.49682,            0.011739,           0.0027648,             0.06981,            0.015002,            0.008592,            0.070638,           0.0032624,           0.0032624
                   1,            0.075551,            0.019018,            0.009558,             0.66873,             0.31466,             0.19522,            0.042066,            0.063333,            0.010557,           0.0050093,            0.040617,            0.006574,            0.006574
                   2,            0.068132,             0.01625,           0.0070842,             0.79206,             0.31239,             0.36827,             0.15245,            0.064592,           0.0090556,           0.0036344,            0.010573,           0.0098635,           0.0098635
                   3,            0.059417,            0.015467,           0.0053019,             0.40312,             0.53546,             0.46461,             0.23056,            0.046858,           0.0093463,           0.0023429,            0.009901,            0.009901,            0.009901
                   4,            0.051301,            0.013569,           0.0039275,             0.69111,             0.83986,             0.65683,             0.27647,            0.046108,           0.0083439,           0.0016311,            0.009901,            0.009901,            0.009901
                   5,            0.048444,            0.011025,           0.0032581,              0.7055,             0.83581,             0.74842,             0.39014,            0.036206,           0.0073924,           0.0015527,            0.009868,            0.009868,            0.009868
                   6,             0.04286,            0.009928,           0.0029835,             0.83539,             0.86466,              0.9364,             0.52701,            0.029592,           0.0068055,           0.0014297,            0.009835,            0.009835,            0.009835
                   7,            0.040874,           0.0086205,           0.0024632,             0.62537,             0.96099,             0.76589,              0.5116,            0.028857,           0.0057544,           0.0014548,            0.009802,            0.009802,            0.009802
                   8,            0.036807,           0.0082391,           0.0022733,             0.75406,             0.96809,             0.86771,             0.49076,             0.03023,           0.0055376,           0.0013349,            0.009769,            0.009769,            0.009769
                   9,            0.036702,           0.0074777,           0.0021959,             0.98161,                   1,             0.99374,              0.5852,            0.026047,           0.0052951,           0.0013039,            0.009736,            0.009736,            0.009736
