               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11213,            0.026855,            0.037444,            0.035625,             0.11771,            0.023542,           0.0051448,            0.085831,            0.019502,            0.024954,            0.070492,           0.0032787,           0.0032787
                   1,            0.086731,            0.026923,             0.01636,             0.10355,              0.4216,             0.11206,            0.035284,            0.071555,             0.01701,            0.010722,             0.04047,           0.0065902,           0.0065902
                   2,            0.079461,            0.022895,           0.0087267,             0.49839,             0.15348,             0.16529,             0.04463,            0.076015,            0.013534,           0.0078161,            0.010426,           0.0098797,           0.0098797
                   3,            0.071975,            0.021131,           0.0063521,             0.50042,             0.64318,             0.48811,             0.14744,            0.056271,            0.014562,           0.0064405,            0.009901,            0.009901,            0.009901
                   4,            0.062378,            0.019988,           0.0051933,             0.50971,             0.76844,             0.70841,             0.27743,            0.046029,            0.012334,           0.0057499,            0.009901,            0.009901,            0.009901
                   5,            0.055727,            0.019272,           0.0041471,             0.74498,             0.83152,             0.81783,             0.33469,            0.042999,            0.011426,           0.0046228,            0.009868,            0.009868,            0.009868
                   6,            0.051889,            0.017532,           0.0035492,             0.79532,             0.80146,             0.81475,             0.35421,            0.042181,            0.010617,           0.0043578,            0.009835,            0.009835,            0.009835
                   7,             0.04845,            0.016982,           0.0034569,             0.88077,             0.89233,              0.9102,             0.42731,            0.035893,            0.010805,           0.0033064,            0.009802,            0.009802,            0.009802
                   8,            0.046169,            0.016365,           0.0030415,             0.80923,             0.82383,             0.85974,             0.40352,            0.035778,            0.010297,           0.0027744,            0.009769,            0.009769,            0.009769
                   9,            0.043683,            0.016075,           0.0027869,              0.9422,             0.89735,             0.94866,             0.49748,            0.033269,            0.010079,           0.0025699,            0.009736,            0.009736,            0.009736
                  10,            0.042934,            0.016142,           0.0026183,             0.82803,             0.95578,             0.93083,             0.44663,            0.036724,           0.0097762,           0.0020781,            0.009703,            0.009703,            0.009703
